%
%
% Run:wwm   Table:BUOYS             SWAN version:41.51
%
%       Hsig          Tm01          Tm02          Dspr          Dir           RTpeak        TPsmoo        Dist          Depth         Botlev      X-Windv       Y-Windv         Watlev   
%       [m]           [sec]         [sec]         [degr]        [degr]        [sec]         [sec]         [m]           [m]           [m]           [m/s]         [m/s]         [m]      
%
      1.40378        8.2233        6.0579       28.0018       273.330       20.2338       20.0489       122599.        4.7998        4.2998        0.9414       -1.7243        0.5000 
      1.42175        8.2216        6.0522       27.9942       274.197       20.2338       20.0481       122657.        4.5000        4.0000        0.9392       -1.7213        0.5000 
      1.81551        8.4942        6.7008       19.4072       219.236       20.2338       20.0026            0.        3.1959        2.6959        0.7923       -2.2056        0.5000 
      1.85281        8.6414        6.8400       25.0672       223.650       20.2338       20.0032           64.        3.5038        3.0038        0.7949       -2.2051        0.5000 
      1.58557        8.5439        6.6791       32.4728       235.629       20.2338       20.0147          110.        2.1989        1.6989        0.7982       -2.2057        0.5000 
      1.76505        8.5215        6.7141       25.6266       235.809       20.2338       20.0061          166.        3.1985        2.6985        0.7989       -2.2050        0.5000 
      2.48159        8.6323        6.5546       22.1917       233.358       20.2338       20.2179        69765.        9.4982        8.9982       -3.1853       -8.1040        0.5000 
      2.48306        8.9775        6.9309       18.6840       231.592       20.2338       20.2231        69937.        6.5012        6.0012       -3.1611       -8.1029        0.5000 
      2.55272        8.9719        6.8988       22.1626       230.709       20.2338       20.2215        70077.        7.2997        6.7997       -3.1797       -8.0937        0.5000 
      0.02774        0.9735        0.8404        8.2266       302.781        1.3144        1.2783       114031.        1.5000        1.0000       -0.1841       -2.6615        0.5000 
      0.03292        0.9921        0.8587        7.8684       298.846        1.3144        1.2886       114099.        1.5000        1.0000       -0.1900       -2.6605        0.5000 
      0.03253        0.9894        0.8561        7.8629       300.276        1.3144        1.2871       114156.        1.5000        1.0000       -0.1800       -2.6566        0.5000 
      1.40575        8.1963        6.0215       27.3749       272.521       20.2338       20.0378       122532.        4.3996        3.8996        0.4489       -3.7200        0.5000 
      1.39944        8.1888        6.0159       28.0648       273.052       20.2338       20.0379       122599.        4.7998        4.2998        0.4565       -3.7380        0.5000 
      1.41758        8.1897        6.0137       28.0505       273.924       20.2338       20.0373       122657.        4.5000        4.0000        0.4538       -3.7301        0.5000 
      1.81464        8.4875        6.6972       19.3949       219.218       20.2338       20.0005            0.        3.1959        2.6959        0.1324       -3.6355        0.5000 
      1.85210        8.6347        6.8362       25.0467       223.617       20.2338       20.0011           64.        3.5038        3.0038        0.1384       -3.6402        0.5000 
      1.58501        8.5372        6.6754       32.4523       235.577       20.2338       20.0126          110.        2.1989        1.6989        0.1358       -3.6449        0.5000 
      1.76448        8.5152        6.7107       25.6094       235.755       20.2338       20.0040          166.        3.1985        2.6985        0.1419       -3.6466        0.5000 
      2.47868        8.6171        6.5296       22.2165       233.288       20.2338       20.2061        69765.        9.4982        8.9982       -3.1362       -8.2254        0.5000 
      2.48029        8.9657        6.9119       18.6968       231.537       20.2338       20.2119        69937.        6.5012        6.0012       -3.1429       -8.2118        0.5000 
      2.54976        8.9579        6.8695       22.1707       230.646       20.2338       20.2106        70077.        7.2997        6.7997       -3.1495       -8.2023        0.5000 
      0.02921        0.8888        0.7622       10.2591       305.032        1.1999        1.2217       114031.        1.5000        1.0000       -1.1597       -4.2676        0.5000 
      0.03322        0.9322        0.8022        9.7627       299.418        1.1999        1.2349       114099.        1.5000        1.0000       -1.1560       -4.2645        0.5000 
      0.03348        0.9236        0.7940        9.8248       301.395        1.1999        1.2375       114156.        1.5000        1.0000       -1.1632       -4.2757        0.5000 
      1.39992        8.1170        5.8557       27.4024       272.530       20.2338       20.0266       122532.        4.3996        3.8996       -1.7122       -7.5721        0.5000 
      1.39374        8.0907        5.8180       28.1037       273.099       20.2338       20.0267       122599.        4.7998        4.2998       -1.7210       -7.6238        0.5000 
      1.41194        8.0902        5.8031       28.1035       273.989       20.2338       20.0263       122657.        4.5000        4.0000       -1.7178       -7.6010        0.5000 
      1.81314        8.4745        6.6951       19.3851       219.213       20.2338       19.9698            0.        3.1959        2.6959       -1.4068       -6.0118        0.5000 
      1.85074        8.6207        6.8296       25.0284       223.602       20.2338       19.9707           64.        3.5038        3.0038       -1.4080       -6.0324        0.5000 
      1.58396        8.5251        6.6694       32.4281       235.535       20.2338       19.9894          110.        2.1989        1.6989       -1.4105       -6.0383        0.5000 
      1.76329        8.5015        6.7040       25.5916       235.716       20.2338       19.9753          166.        3.1985        2.6985       -1.4104       -6.0527        0.5000 
      2.47457        8.5994        6.5301       22.2184       233.242       20.2338       20.1385        69765.        9.4982        8.9982       -1.9842       -8.4408        0.5000 
      2.47658        8.9392        6.8817       18.7240       231.512       20.2338       20.1466        69937.        6.5012        6.0012       -1.9680       -8.4366        0.5000 
      2.54566        8.9337        6.8524       22.1908       230.600       20.2338       20.1467        70077.        7.2997        6.7997       -2.0071       -8.4476        0.5000 
      0.03943        0.8321        0.7139       10.4146       306.046        1.0000       -9.0000       114031.        1.5000        1.0000        0.7746       -3.1035        0.5000 
      0.04191        0.8623        0.7395       10.2067       300.729        1.1999        1.1869       114099.        1.5000        1.0000        0.7698       -3.1045        0.5000 
      0.04312        0.8575        0.7355       10.3168       302.696        1.1999        1.1838       114156.        1.5000        1.0000        0.7753       -3.1015        0.5000 
      1.38709        8.1811        5.9557       27.3543       272.533       20.2338       19.9847       122532.        4.3996        3.8996       -0.4602       -6.4411        0.5000 
      1.38049        8.1456        5.8911       28.0655       273.124       20.2338       19.9834       122599.        4.7998        4.2998       -0.4911       -6.5058        0.5000 
      1.39906        8.1423        5.8743       28.0698       273.995       20.2338       19.9845       122657.        4.5000        4.0000       -0.4861       -6.4848        0.5000 
      1.80818        8.4222        6.6700       19.4057       219.258       20.2338       19.4898            0.        3.1959        2.6959       -0.5577       -5.4760        0.5000 
      1.84612        8.5658        6.8051       25.0286       223.644       20.2338       19.4922           64.        3.5038        3.0038       -0.5768       -5.5128        0.5000 
      1.57998        8.4695        6.6447       32.4076       235.538       20.2338       19.5402          110.        2.1989        1.6989       -0.5789       -5.5232        0.5000 
      1.75914        8.4468        6.6791       25.5863       235.715       20.2338       19.5048          166.        3.1985        2.6985       -0.5938       -5.5491        0.5000 
      2.47013        8.5624        6.4975       22.2760       233.143       20.2338       19.9973        69765.        9.4982        8.9982       -0.3713       -8.8973        0.5000 
      2.47181        8.9010        6.8295       18.7770       231.433       20.2338       20.0059        69937.        6.5012        6.0012       -0.3489       -8.8941        0.5000 
